YEAR,TOURNAMENT,WINNER,RUNNER-UP,WINNER_NATIONALITY,WINNER_ATP_RANKING,RUNNER-UP_ATP_RANKING,WINNER_LEFT_OR_RIGHT_HANDED,TOURNAMENT_SURFACE,WINNER_PRIZE
1977,Wimbledon,Bjorn Borg,Jimmy Connors,Swedish,,,right,Grass / Outdoor,15000
1977,French Open,Guillermo Vilas,Brian Gottfried,Argentine,,,left,Clay,190000
1977,Australian Open (Jan),Roscoe Tanner,Guillermo Vilas,American,,,left,Grass,28000
1976,U.S. Open,Jimmy Connors,Bjorn Borg,American,,,left,Clay - outdoors,30000
1976,Wimbledon,Bjorn Borg,Ilie Nastase,Swedish,,,right,Grass / Outdoor,12500
1976,French Open,Adriano Panatta,Harold Soloman,Italian,,,right,Clay,130000
1976,Australian Open,Mark Edmondson,John Newcombe,Australian,,,right,Grass,8156
1975,U.S. Open,Manuel Orantes,Jimmy Connors,American,,,left,Clay - outdoors,25000
1975,Wimbledon,Arthur Ashe,Jimmy Connors,American,,,right,Grass / Outdoor,10000
1975,French Open,Bjorn Borg,Guillermo Vilas,Swedish,,,right,Clay,120000
1975,Australian Open,John Newcombe,Jimmy Connors,Australian,,,right,Grass,9234
1974,U.S. Open,Jimmy Connors,Ken Rosewall,American,,,left,outdoors,22500
1974,Wimbledon,Jimmy Connors,Ken Rosewall,American,,,left,Grass / Outdoor,10000
1974,French Open,Bjorn Borg,Manuel Orantes,Swedish,,,right,Clay,120000
1974,Australian Open,Jimmy Connors,Phil Dent,American,,,left,Grass,6500
1973,U.S. Open,John Newcombe,Jan Kodes,Australian,,,right,outdoors,25000
1973,Wimbledon,Jan Kodes,Alex Metreveli,Czech,,,right,Grass / Outdoor,5000
1973,French Open,Ilie Nastase,Nikola Pilic,Romanian,,,right,Clay,70000
